,index,count,datetime_race,date_competition,competition,type,stroke,speed
747,"(21, 2.6)",1,2019-08-25,2019-09-01,2019 World Rowing Championships,Встречный ветер,21,2.6
1100,"(21, 3.0)",1,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,21,3.0
1136,"(22, 2.9)",1,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,22,2.9
911,"(22, 3.0)",1,2019-08-26,2019-09-01,2019 World Rowing Championships,Встречный ветер,22,3.0
1099,"(22, 3.0)",1,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,22,3.0
712,"(22, 3.7)",1,2019-08-25,2019-09-01,2019 World Rowing Championships,Встречный ветер,22,3.7
1096,"(22, 3.7)",2,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,22,3.7
1049,"(22, 3.8)",3,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,22,3.8
123,"(22, 4.0)",1,2019-05-10,2019-05-12,2019 World Rowing Cup I,Попутный ветер,22,4.0
1137,"(22, 4.1)",1,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,22,4.1
1400,"(23, 3.1)",1,2019-09-01,2019-09-01,2019 World Rowing Championships,Без ветра,23,3.1
681,"(23, 3.7)",2,2019-08-25,2019-09-01,2019 World Rowing Championships,Встречный ветер,23,3.7
1106,"(23, 3.7)",1,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,23,3.7
718,"(23, 3.8)",1,2019-08-25,2019-09-01,2019 World Rowing Championships,Встречный ветер,23,3.8
1068,"(23, 3.8)",2,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,23,3.8
1386,"(23, 3.8)",1,2019-09-01,2019-09-01,2019 World Rowing Championships,Без ветра,23,3.8
279,"(23, 3.9)",1,2019-08-29,2019-09-01,2019 World Rowing Championships,Попутный ветер,23,3.9
640,"(23, 3.9)",3,2019-08-25,2019-09-01,2019 World Rowing Championships,Встречный ветер,23,3.9
1103,"(23, 3.9)",1,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,23,3.9
112,"(23, 4.1)",1,2019-05-10,2019-05-12,2019 World Rowing Cup I,Попутный ветер,23,4.1
917,"(24, 3.2)",1,2019-08-26,2019-09-01,2019 World Rowing Championships,Встречный ветер,24,3.2
686,"(24, 3.5)",1,2019-08-25,2019-09-01,2019 World Rowing Championships,Встречный ветер,24,3.5
940,"(24, 3.5)",1,2019-08-26,2019-09-01,2019 World Rowing Championships,Встречный ветер,24,3.5
83,"(24, 3.7)",1,2019-05-10,2019-05-12,2019 World Rowing Cup I,Попутный ветер,24,3.7
1406,"(24, 3.7)",1,2019-09-01,2019-09-01,2019 World Rowing Championships,Без ветра,24,3.7
111,"(24, 3.8)",1,2019-05-10,2019-05-12,2019 World Rowing Cup I,Попутный ветер,24,3.8
630,"(24, 3.8)",3,2019-08-25,2019-09-01,2019 World Rowing Championships,Встречный ветер,24,3.8
1047,"(24, 3.8)",3,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,24,3.8
288,"(24, 3.9)",1,2019-08-29,2019-09-01,2019 World Rowing Championships,Попутный ветер,24,3.9
624,"(24, 3.9)",4,2019-08-25,2019-09-01,2019 World Rowing Championships,Встречный ветер,24,3.9
1095,"(24, 3.9)",2,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,24,3.9
128,"(24, 4.0)",1,2019-05-10,2019-05-12,2019 World Rowing Cup I,Попутный ветер,24,4.0
250,"(24, 4.0)",2,2019-08-29,2019-09-01,2019 World Rowing Championships,Попутный ветер,24,4.0
