,avg_pace,meters,name,pace,position,spm,time
0.0,294.0,5.0,ИТМО-2,123.0,8.0,0.0,202.0
1.0,160.0,10.0,ИТМО-2,100.0,8.0,48.0,302.0
2.0,125.0,15.0,ИТМО-2,100.0,8.0,48.0,402.0
3.0,125.0,22.0,ИТМО-2,86.0,8.0,44.0,502.0
4.0,111.0,28.0,ИТМО-2,83.0,8.0,44.0,602.0
5.0,104.0,34.0,ИТМО-2,82.0,7.0,43.0,703.0
6.0,104.0,40.0,ИТМО-2,82.0,7.0,43.0,803.0
7.0,99.0,46.0,ИТМО-2,82.0,7.0,43.0,901.0
8.0,97.0,52.0,ИТМО-2,82.0,7.0,44.0,1003.0
9.0,95.0,58.0,ИТМО-2,82.0,7.0,44.0,1102.0
10.0,95.0,64.0,ИТМО-2,83.0,7.0,43.0,1202.0
11.0,93.0,71.0,ИТМО-2,83.0,7.0,43.0,1303.0
12.0,92.0,76.0,ИТМО-2,83.0,7.0,42.0,1402.0
13.0,92.0,82.0,ИТМО-2,83.0,7.0,42.0,1502.0
14.0,91.0,88.0,ИТМО-2,85.0,7.0,41.0,1602.0
15.0,90.0,94.0,ИТМО-2,85.0,7.0,43.0,1702.0
16.0,90.0,100.0,ИТМО-2,85.0,7.0,43.0,1803.0
17.0,90.0,106.0,ИТМО-2,84.0,7.0,44.0,1902.0
18.0,89.0,112.0,ИТМО-2,84.0,7.0,44.0,2003.0
19.0,89.0,118.0,ИТМО-2,85.0,7.0,43.0,2102.0
20.0,89.0,124.0,ИТМО-2,85.0,7.0,43.0,2201.0
21.0,89.0,130.0,ИТМО-2,85.0,7.0,43.0,2301.0
22.0,89.0,136.0,ИТМО-2,86.0,7.0,44.0,2403.0
23.0,88.0,142.0,ИТМО-2,86.0,7.0,44.0,2502.0
24.0,88.0,148.0,ИТМО-2,85.0,7.0,43.0,2602.0
25.0,88.0,154.0,ИТМО-2,86.0,7.0,42.0,2701.0
26.0,88.0,159.0,ИТМО-2,86.0,7.0,43.0,2802.0
27.0,88.0,165.0,ИТМО-2,86.0,7.0,43.0,2902.0
28.0,88.0,171.0,ИТМО-2,87.0,7.0,42.0,3001.0
29.0,88.0,177.0,ИТМО-2,87.0,7.0,43.0,3102.0
30.0,88.0,182.0,ИТМО-2,87.0,7.0,43.0,3203.0
31.0,88.0,188.0,ИТМО-2,87.0,7.0,43.0,3302.0
32.0,88.0,194.0,ИТМО-2,88.0,7.0,42.0,3402.0
33.0,88.0,200.0,ИТМО-2,88.0,7.0,43.0,3502.0
34.0,88.0,205.0,ИТМО-2,88.0,7.0,43.0,3601.0
35.0,88.0,211.0,ИТМО-2,88.0,7.0,43.0,3702.0
36.0,88.0,217.0,ИТМО-2,88.0,7.0,42.0,3802.0
37.0,88.0,222.0,ИТМО-2,88.0,7.0,42.0,3901.0
38.0,88.0,228.0,ИТМО-2,89.0,7.0,41.0,4001.0
39.0,88.0,234.0,ИТМО-2,89.0,7.0,42.0,4102.0
40.0,88.0,239.0,ИТМО-2,89.0,7.0,42.0,4202.0
41.0,88.0,245.0,ИТМО-2,89.0,7.0,41.0,4302.0
42.0,88.0,250.0,ИТМО-2,91.0,7.0,44.0,4402.0
43.0,88.0,255.0,ИТМО-2,91.0,7.0,44.0,4501.0
44.0,88.0,259.0,ИТМО-2,104.0,7.0,34.0,4601.0
45.0,89.0,263.0,ИТМО-2,125.0,7.0,49.0,4700.0
46.0,89.0,267.0,ИТМО-2,125.0,7.0,49.0,4799.0
47.0,90.0,271.0,ИТМО-2,129.0,7.0,29.0,4900.0
48.0,91.0,276.0,ИТМО-2,117.0,7.0,58.0,5000.0
49.0,91.0,281.0,ИТМО-2,93.0,7.0,59.0,5101.0
50.0,91.0,287.0,ИТМО-2,86.0,7.0,54.0,5201.0
51.0,90.0,293.0,ИТМО-2,83.0,7.0,54.0,5302.0
52.0,90.0,299.0,ИТМО-2,82.0,7.0,51.0,5402.0
53.0,90.0,306.0,ИТМО-2,82.0,7.0,51.0,5502.0
54.0,90.0,312.0,ИТМО-2,81.0,7.0,51.0,5601.0
55.0,90.0,318.0,ИТМО-2,81.0,7.0,50.0,5702.0
56.0,90.0,324.0,ИТМО-2,81.0,7.0,54.0,5801.0
57.0,89.0,330.0,ИТМО-2,82.0,7.0,52.0,5901.0
58.0,89.0,336.0,ИТМО-2,82.0,7.0,52.0,6002.0
59.0,89.0,343.0,ИТМО-2,82.0,7.0,55.0,6102.0
60.0,89.0,349.0,ИТМО-2,82.0,7.0,53.0,6202.0
61.0,89.0,355.0,ИТМО-2,82.0,7.0,53.0,6302.0
62.0,89.0,361.0,ИТМО-2,82.0,7.0,52.0,6401.0
63.0,89.0,367.0,ИТМО-2,82.0,7.0,53.0,6502.0
64.0,89.0,373.0,ИТМО-2,83.0,7.0,53.0,6601.0
65.0,88.0,379.0,ИТМО-2,82.0,7.0,54.0,6702.0
66.0,88.0,385.0,ИТМО-2,82.0,7.0,53.0,6801.0
67.0,88.0,391.0,ИТМО-2,83.0,7.0,54.0,6901.0
68.0,88.0,397.0,ИТМО-2,85.0,7.0,50.0,7001.0
69.0,88.0,403.0,ИТМО-2,85.0,7.0,50.0,7101.0
70.0,88.0,409.0,ИТМО-2,85.0,7.0,52.0,7202.0
71.0,88.0,415.0,ИТМО-2,84.0,7.0,54.0,7301.0
72.0,88.0,421.0,ИТМО-2,84.0,7.0,52.0,7402.0
