,avg_pace,meters,name,pace,position,spm,time
0.0,362.0,4.0,ВШЭ СПБ - 2,124.0,2.0,0.0,200.0
1.0,191.0,9.0,ВШЭ СПБ - 2,107.0,2.0,64.0,301.0
2.0,129.0,15.0,ВШЭ СПБ - 2,95.0,2.0,65.0,402.0
3.0,118.0,21.0,ВШЭ СПБ - 2,88.0,2.0,63.0,502.0
4.0,111.0,27.0,ВШЭ СПБ - 2,84.0,2.0,65.0,602.0
5.0,106.0,33.0,ВШЭ СПБ - 2,83.0,2.0,62.0,702.0
6.0,103.0,39.0,ВШЭ СПБ - 2,84.0,2.0,63.0,801.0
7.0,101.0,45.0,ВШЭ СПБ - 2,84.0,2.0,62.0,902.0
8.0,99.0,51.0,ВШЭ СПБ - 2,85.0,2.0,61.0,1002.0
9.0,97.0,56.0,ВШЭ СПБ - 2,85.0,2.0,59.0,1102.0
10.0,96.0,62.0,ВШЭ СПБ - 2,85.0,2.0,59.0,1202.0
11.0,95.0,68.0,ВШЭ СПБ - 2,86.0,2.0,58.0,1301.0
12.0,95.0,74.0,ВШЭ СПБ - 2,86.0,2.0,59.0,1402.0
13.0,94.0,80.0,ВШЭ СПБ - 2,87.0,2.0,57.0,1501.0
14.0,94.0,85.0,ВШЭ СПБ - 2,88.0,2.0,58.0,1601.0
15.0,94.0,91.0,ВШЭ СПБ - 2,88.0,2.0,58.0,1701.0
16.0,93.0,97.0,ВШЭ СПБ - 2,88.0,2.0,58.0,1801.0
17.0,93.0,103.0,ВШЭ СПБ - 2,88.0,2.0,58.0,1901.0
18.0,93.0,108.0,ВШЭ СПБ - 2,88.0,2.0,57.0,2001.0
19.0,92.0,114.0,ВШЭ СПБ - 2,88.0,2.0,57.0,2102.0
20.0,92.0,120.0,ВШЭ СПБ - 2,88.0,2.0,59.0,2201.0
21.0,92.0,125.0,ВШЭ СПБ - 2,89.0,2.0,56.0,2301.0
22.0,92.0,131.0,ВШЭ СПБ - 2,89.0,2.0,57.0,2402.0
